20240602	14:39:15	f3f3fd9f-68f1-44b0-9412-8dcdfdbf98e5	[6/2/2024, 2:39:15 PM]	GET	undefined	/bootstrap/bootstrap-icons/font/bootstrap-icons.min.css
20240602	14:39:15	664c9eb8-bee9-4376-8e42-c1b01e95e42c	[6/2/2024, 2:39:15 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.bundle.min.js
20240602	14:39:15	15eb1ef8-c6b3-4612-8f8f-0d2e7cb7c82a	[6/2/2024, 2:39:15 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.min.js
20240602	14:39:15	b7794d24-b7c1-4d51-92f1-c2ea31adcfc7	[6/2/2024, 2:39:15 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.bundle.min.js.map
20240602	14:39:15	4c7b26fd-a468-45fe-9e38-c5ffff33e1b7	[6/2/2024, 2:39:15 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.min.js.map
20240602	14:39:16	9d466f44-ac4b-4fc1-8b4b-de7e189a9580	[6/2/2024, 2:39:16 PM]	GET	undefined	/bootstrap/dist/css/bootstrap.min.css.map
20240602	14:41:47	2a0afe16-c9ab-4423-a957-2558ccfb4eb1	[6/2/2024, 2:41:47 PM]	GET	undefined	/
20240602	14:43:15	73c4c371-6cb3-4368-906a-fdd4f1615ad4	[6/2/2024, 2:43:15 PM]	GET	undefined	/
20240602	14:43:15	8fd22dd7-aa5d-4fab-93a5-c4a2167e4eca	[6/2/2024, 2:43:15 PM]	GET	undefined	/bootstrap/dist/css/bootstrap.min.css
20240602	14:43:15	1cdefef4-4af4-4ce2-a926-b55461834a2c	[6/2/2024, 2:43:15 PM]	GET	undefined	/bootstrap/bootstrap-icons/font/bootstrap-icons.min.css
20240602	14:43:15	8ac74953-c54f-48d0-a0be-35644572044b	[6/2/2024, 2:43:15 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.min.js
20240602	14:43:15	7294107d-2f88-4ac7-ac5e-cf8f7e8c22af	[6/2/2024, 2:43:15 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.bundle.min.js
20240602	14:43:15	62b0cc40-6a7f-4b54-9463-3f9ae457f5c7	[6/2/2024, 2:43:15 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.bundle.min.js.map
20240602	14:43:15	6fc61874-581b-4089-b92d-24bef843d313	[6/2/2024, 2:43:15 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.min.js.map
20240602	14:43:15	80179bd0-cf31-423f-891d-e7b1bf0624b2	[6/2/2024, 2:43:15 PM]	GET	undefined	/bootstrap/dist/css/bootstrap.min.css.map
20240602	14:43:31	97a6d77f-c4b9-4a77-be13-52d2307472d6	[6/2/2024, 2:43:31 PM]	GET	undefined	/
20240602	14:48:55	153ee750-ead5-40e7-baa1-6ba124b3ea7c	[6/2/2024, 2:48:55 PM]	GET	undefined	/
20240602	14:49:19	80a8a309-aa6e-42ef-9336-efab7bb107f1	[6/2/2024, 2:49:19 PM]	GET	undefined	/
20240602	14:49:19	abd3bf3c-c9a0-4099-a3df-6715a2cabb52	[6/2/2024, 2:49:19 PM]	GET	undefined	/bootstrap/dist/css/bootstrap.min.css
20240602	14:49:19	4ebad1ad-71a8-4826-a03b-a4c78f475795	[6/2/2024, 2:49:19 PM]	GET	undefined	/bootstrap/bootstrap-icons/font/bootstrap-icons.min.css
20240602	14:49:19	e9de77f8-7d4d-4e58-9788-07789fe5099f	[6/2/2024, 2:49:19 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.bundle.min.js
20240602	14:49:19	cf22b7da-6c64-4590-b895-15b0867ff75f	[6/2/2024, 2:49:19 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.min.js
20240602	14:49:20	14b736b0-2333-4c01-ba1c-aeb88ea40447	[6/2/2024, 2:49:20 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.bundle.min.js.map
20240602	14:49:20	6992015c-052b-4f6d-b2b6-2cafdd464227	[6/2/2024, 2:49:20 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.min.js.map
20240602	14:49:20	8dee8f98-3263-4038-adc3-21ef84a2c86d	[6/2/2024, 2:49:20 PM]	GET	undefined	/bootstrap/dist/css/bootstrap.min.css.map
20240602	14:51:03	d74a92ec-edbf-4cc4-956f-a784273ce00a	[6/2/2024, 2:51:03 PM]	GET	undefined	/
20240602	14:53:45	9f40b6f1-7f6a-4d2e-98ed-dab93f495d26	[6/2/2024, 2:53:45 PM]	GET	undefined	/
20240602	14:53:45	a66cea8c-06f9-44dc-88f6-29208d411135	[6/2/2024, 2:53:45 PM]	GET	undefined	/bootstrap/dist/css/bootstrap.min.css
20240602	14:53:45	8d657fa0-345d-42f9-87d3-5df0ef49ac99	[6/2/2024, 2:53:45 PM]	GET	undefined	/bootstrap/bootstrap-icons/font/bootstrap-icons.min.css
20240602	14:53:45	e09ad02d-d88e-44b7-b8cb-aaa745dc12b7	[6/2/2024, 2:53:45 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.bundle.min.js
20240602	14:53:45	ecb98b6f-9cc6-4cc2-82b2-f4cfbe45d472	[6/2/2024, 2:53:45 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.min.js
20240602	14:53:45	38ecaf86-b5b2-410f-bf2d-448373f66380	[6/2/2024, 2:53:45 PM]	GET	undefined	/bootstrap/dist/css/bootstrap.min.css.map
20240602	14:53:45	8659d1e2-7135-4151-aaae-461c2577be87	[6/2/2024, 2:53:45 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.bundle.min.js.map
20240602	14:53:45	4f323c41-1837-4e64-a466-a0a2f7a5abfa	[6/2/2024, 2:53:45 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.min.js.map
20240602	14:53:51	5b3bdf69-1adf-44a3-ac00-472c7d0978bd	[6/2/2024, 2:53:51 PM]	GET	undefined	/new-page
20240602	14:53:51	1fcf7def-705a-44d7-a3a6-c163c354b525	[6/2/2024, 2:53:51 PM]	GET	undefined	/bootstrap/dist/css/bootstrap.min.css
20240602	14:53:51	91fdca09-7302-43a3-835f-2666a5fc6495	[6/2/2024, 2:53:51 PM]	GET	undefined	/bootstrap/bootstrap-icons/font/bootstrap-icons.min.css
20240602	14:53:51	8dea4ae8-a47c-4442-a558-439baf9a28cc	[6/2/2024, 2:53:51 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.bundle.min.js
20240602	14:53:51	ca05a2bd-fd95-463d-a1bc-6bfd89fe1f5c	[6/2/2024, 2:53:51 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.min.js
20240602	14:53:51	b096221c-53f1-47d2-8de9-3ca052cf0ac8	[6/2/2024, 2:53:51 PM]	GET	undefined	/img/img1.jpg
20240602	14:53:52	2255176d-411e-4f97-b49a-6e8fb584264c	[6/2/2024, 2:53:52 PM]	GET	undefined	/bootstrap/dist/css/bootstrap.min.css.map
20240602	14:53:52	7ffea904-af16-44ba-aaea-099fc48f3587	[6/2/2024, 2:53:52 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.bundle.min.js.map
20240602	14:53:52	f6b00198-1ab3-4fee-acbe-62a1284a9e9e	[6/2/2024, 2:53:52 PM]	GET	undefined	/bootstrap/dist/css/bootstrap.min.css.map
20240602	14:53:52	d84a906b-f859-4d2f-b323-dc3dcb57cafb	[6/2/2024, 2:53:52 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.min.js.map
20240602	14:54:25	118909f1-7562-4a04-ae7a-52d48e4cd32a	[6/2/2024, 2:54:25 PM]	GET	undefined	/
20240602	14:54:25	2a9cf500-b341-4ed9-af4d-e545361d9133	[6/2/2024, 2:54:25 PM]	GET	undefined	/bootstrap/dist/css/bootstrap.min.css
20240602	14:54:25	12c8d34e-b4a2-47ae-b332-7e1ec919a436	[6/2/2024, 2:54:25 PM]	GET	undefined	/bootstrap/bootstrap-icons/font/bootstrap-icons.min.css
20240602	14:54:25	e58e1f5f-2692-4bb7-b731-d2ae70c43132	[6/2/2024, 2:54:25 PM]	GET	undefined	/bootstrap/dist/js/bootstrap.bundle.min.js
